gas_cost,volatility,reward_kind,inventory_phi,agent,mean_pnl,std_pnl,median_pnl,skew_pnl,kurt_pnl,profitable_frac,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,rebalances_per_ep,rebalance_rate_pct,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,attrib_hodl,attrib_fees,attrib_il,attrib_gas,risk_profile
2,0.03,inventory,20.0,CDM,-3.34,20.25,0.0,-1.04,1.7,0.462,1.001,0.022,0.004,-8.544,96.949,150.837,0.05,0.0,-14.384,0.164,0.74,1.05,-0.0,8.65,11.9,0.1,phi=20
2,0.03,inventory,20.0,PPO,0.44,4.38,0.0,-1.37,7.66,0.301,21.165,0.0,6.957,-6.709,1.498,53.072,0.0,0.0,0.897,0.0,5.293,0.41,0.03,1.77,1.36,0.0,phi=20
2,0.03,inventory,20.0,PPO_narrow,1.09,6.72,0.0,-0.51,5.4,0.408,1.991,0.002,0.089,-7.674,10.781,60.082,0.03,0.29,1.697,0.177,1.475,0.59,-0.06,3.75,2.55,0.06,phi=20
2,0.03,inventory,50.0,DeployWide,-2.12,20.71,3.51,-1.21,1.6,0.622,30.0,0.0,0.0,6.296,96.948,150.88,0.0,0.0,0.0,0.0,0.0,1.0,-0.66,10.12,11.58,0.0,phi=50
2,0.03,inventory,50.0,ArrivalRebalance,-10.64,26.12,-6.95,-0.82,1.67,0.367,2.0,0.0,0.0,1.055,46.168,21.107,6.0,0.6,0.0,0.0,0.0,7.0,-1.05,34.97,32.55,12.0,phi=50
2,0.03,inventory,50.0,DeployNarrow,0.1,21.61,4.59,-0.99,1.41,0.639,2.0,0.0,0.0,6.296,96.948,150.88,0.0,0.0,0.0,0.0,0.0,1.0,-0.61,12.69,11.99,0.0,phi=50
2,0.03,inventory,50.0,CDM,-3.34,20.25,0.0,-1.04,1.7,0.462,1.001,0.022,0.004,-8.544,96.949,150.837,0.05,0.0,-14.384,0.164,0.74,1.05,-0.0,8.65,11.9,0.1,phi=50
2,0.03,inventory,50.0,PPO,0.01,0.55,0.0,-3.5,274.62,0.007,18.0,0.0,0.0,-15.3,0.0,66.402,0.0,0.0,3.0,0.0,0.0,0.01,0.0,0.04,0.03,0.0,phi=50
2,0.03,inventory,50.0,PPO_narrow,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,phi=50
2,0.03,inventory,80.0,DeployWide,-2.12,20.71,3.51,-1.21,1.6,0.622,30.0,0.0,0.0,6.296,96.948,150.88,0.0,0.0,0.0,0.0,0.0,1.0,-0.66,10.12,11.58,0.0,phi=80
