gas_cost,volatility,inventory_phi,agent,n_seeds,mean,p5_mean,p95_mean,std,p5_std,p95_std,cvar5_mean,cvar5_std,cvar1_mean,cvar1_std,std_pnl_mean,min,max,range,cv_pct
6.0,0.02,50,CDM,10,-136.07266133538965,-336.7040770538011,-34.30913112467313,0.0,0.0,0.0,-420.69574046657465,0.0,-541.7126626361184,0.0,98.00393867787076,-136.07266133538965,-136.07266133538965,0.0,0.0
6.0,0.02,50,DeployNarrow,10,6.477607686199505,-23.96664213352248,34.81409255433276,0.0,0.0,0.0,-35.36628440504408,0.0,-50.708465953253054,0.0,17.950551852566374,6.477607686199505,6.477607686199505,0.0,0.0
6.0,0.02,50,DeployWide,10,4.09478718770963,-24.95742360716701,27.8048911655416,0.0,0.0,0.0,-36.48392899469141,0.0,-51.603535519010464,0.0,16.271817552955877,4.09478718770963,4.09478718770963,0.0,0.0
6.0,0.03,0,ArrivalRebalance,10,-34.61156999593225,-78.27928754309917,2.4083356132478166,0.0,0.0,0.0,-100.06872103184207,0.0,-132.35105539316427,0.0,25.815785758478388,-34.61156999593225,-34.61156999593225,0.0,0.0
6.0,0.03,0,CDM,10,-3.5332405774848956,-42.564194855707065,21.305338060385107,0.0,0.0,0.0,-57.33032480336446,0.0,-77.99773849329829,0.0,20.22283671871244,-3.5332405774848956,-3.5332405774848956,0.0,0.0
6.0,0.03,0,DeployNarrow,10,0.0964713179157136,-39.48090507159393,30.51672447722992,0.0,0.0,0.0,-56.168761744772,0.0,-77.51757365376551,0.0,21.608472923836356,0.0964713179157136,0.0964713179157136,0.0,0.0
6.0,0.03,0,DeployWide,10,-2.1249120924062783,-40.699911794290735,23.251087766135786,0.0,0.0,0.0,-57.32995524756137,0.0,-78.77373364024155,0.0,20.711410886736758,-2.1249120924062783,-2.1249120924062783,0.0,0.0
6.0,0.03,50,ArrivalRebalance,10,-34.61156999593225,-78.27928754309917,2.4083356132478166,0.0,0.0,0.0,-100.06872103184207,0.0,-132.35105539316427,0.0,25.815785758478388,-34.61156999593225,-34.61156999593225,0.0,0.0
6.0,0.03,50,CDM,10,-3.5332405774848956,-42.564194855707065,21.305338060385107,0.0,0.0,0.0,-57.33032480336446,0.0,-77.99773849329829,0.0,20.22283671871244,-3.5332405774848956,-3.5332405774848956,0.0,0.0
6.0,0.03,50,DeployNarrow,10,0.0964713179157136,-39.48090507159393,30.51672447722992,0.0,0.0,0.0,-56.168761744772,0.0,-77.51757365376551,0.0,21.608472923836356,0.0964713179157136,0.0964713179157136,0.0,0.0
6.0,0.03,50,DeployWide,10,-2.1249120924062783,-40.699911794290735,23.251087766135786,0.0,0.0,0.0,-57.32995524756137,0.0,-78.77373364024155,0.0,20.711410886736758,-2.1249120924062783,-2.1249120924062783,0.0,0.0
